Site,Date,Night,Time,DateTimeOriginal,SpeciesID
CTB-0713,2016-07-19,2016-07-18,0:02:23,2016-07-19 0:02,MYLU
CTB-0713,2016-07-19,2016-07-18,0:23:59,2016-07-19 0:23,30K
CTB-0713,2016-07-19,2016-07-18,0:27:10,2016-07-19 0:27,35K
CTB-0713,2016-07-19,2016-07-18,0:27:17,2016-07-19 0:27,35K
CTB-0713,2016-07-19,2016-07-18,1:21:39,2016-07-19 1:21,35K
CTB-0713,2016-07-19,2016-07-18,1:21:49,2016-07-19 1:21,40K
CTB-0713,2016-07-19,2016-07-18,1:51:07,2016-07-19 1:51,40K
CTB-0713,2016-07-19,2016-07-18,2:03:36,2016-07-19 2:03,40K
CTB-0713,2016-07-19,2016-07-18,2:22:13,2016-07-19 2:22,35K
CTB-0713,2016-07-19,2016-07-18,5:16:26,2016-07-19 5:16,NOISE
CTB-0713,2016-07-19,2016-07-18,5:20:29,2016-07-19 5:20,NOISE
CTB-0713,2016-07-19,2016-07-19,22:25:16,2016-07-19 22:25,35K
CTB-0713,2016-07-19,2016-07-19,23:13:55,2016-07-19 23:13,40K
CTB-0713,2016-07-19,2016-07-19,23:16:48,2016-07-19 23:16,35K
CTB-0713,2016-07-20,2016-07-20,21:55:14,2016-07-20 21:55,35K
CTB-0713,2016-07-20,2016-07-20,22:06:34,2016-07-20 22:06,35K
CTB-0713,2016-07-21,2016-07-20,0:28:09,2016-07-21 0:28,NOISE
CTB-0713,2016-07-21,2016-07-20,3:23:40,2016-07-21 3:23,35K
CTB-0713,2016-07-21,2016-07-21,21:12:26,2016-07-21 21:12,NOISE
CTB-0713,2016-07-21,2016-07-21,21:41:15,2016-07-21 21:41,35K
CTB-0713,2016-07-22,2016-07-21,0:41:15,2016-07-22 0:41,35K
CTB-0713,2016-07-22,2016-07-21,0:56:31,2016-07-22 0:56,MYLU
CTB-0713,2016-07-22,2016-07-21,0:57:52,2016-07-22 0:57,40K
CTB-0713,2016-07-22,2016-07-21,1:09:13,2016-07-22 1:09,35K
CTB-0713,2016-07-22,2016-07-21,5:26:45,2016-07-22 5:26,NOISE
CTB-0713,2016-07-22,2016-07-21,5:27:00,2016-07-22 5:27,NOISE
CTB-0713,2016-07-22,2016-07-21,5:27:01,2016-07-22 5:27,NOISE
CTB-0713,2016-07-22,2016-07-21,5:27:08,2016-07-22 5:27,NOISE
CTB-0713,2016-07-22,2016-07-22,20:53:27,2016-07-22 20:53,NOISE
CTB-0713,2016-07-22,2016-07-22,20:54:53,2016-07-22 20:54,NOISE
CTB-0713,2016-07-22,2016-07-22,20:54:58,2016-07-22 20:54,NOISE
CTB-0713,2016-07-22,2016-07-22,20:55:12,2016-07-22 20:55,NOISE
CTB-0713,2016-07-22,2016-07-22,20:55:32,2016-07-22 20:55,NOISE
CTB-0713,2016-07-22,2016-07-22,20:55:58,2016-07-22 20:55,NOISE
CTB-0713,2016-07-22,2016-07-22,22:05:24,2016-07-22 22:05,35K
CTB-0713,2016-07-22,2016-07-22,23:43:02,2016-07-22 23:43,30K
CTB-0713,2016-07-23,2016-07-23,21:50:13,2016-07-23 21:50,35K
CTB-0713,2016-07-23,2016-07-23,21:51:12,2016-07-23 21:51,35K
CTB-0713,2016-07-23,2016-07-23,22:06:50,2016-07-23 22:06,35K
CTB-0713,2016-07-24,2016-07-24,21:48:39,2016-07-24 21:48,35K
CTB-0713,2016-07-24,2016-07-24,23:14:51,2016-07-24 23:14,40K
CTB-0713,2016-07-24,2016-07-24,23:16:36,2016-07-24 23:16,35K
CTB-0713,2016-07-24,2016-07-24,23:58:27,2016-07-24 23:58,35K
CTB-0713,2016-07-25,2016-07-24,1:14:12,2016-07-25 1:14,35K
CTB-0713,2016-07-25,2016-07-24,1:16:19,2016-07-25 1:16,MYLU
CTB-0713,2016-07-25,2016-07-24,1:23:11,2016-07-25 1:23,35K
CTB-0713,2016-07-25,2016-07-24,1:28:35,2016-07-25 1:28,40K
CTB-0713,2016-07-25,2016-07-24,2:59:28,2016-07-25 2:59,35K
CTB-0713,2016-07-25,2016-07-24,2:59:28,2016-07-25 2:59,40K
CTB-0713,2016-07-25,2016-07-24,3:09:53,2016-07-25 3:09,35K
CTB-0713,2016-07-25,2016-07-24,3:10:12,2016-07-25 3:10,35K
CTB-0713,2016-07-25,2016-07-24,3:10:39,2016-07-25 3:10,35K
CTB-0713,2016-07-25,2016-07-24,3:10:46,2016-07-25 3:10,35K
CTB-0713,2016-07-30,2016-07-29,0:34:45,2016-07-30 0:34,40K
CTB-0713,2016-07-30,2016-07-29,1:01:07,2016-07-30 1:01,NOISE
CTB-0713,2016-07-30,2016-07-29,1:25:41,2016-07-30 1:25,40K
CTB-0713,2016-07-30,2016-07-29,5:06:57,2016-07-30 5:06,MYLU
CTB-0713,2016-07-30,2016-07-29,5:07:04,2016-07-30 5:07,35K
CTB-0713,2016-07-30,2016-07-30,21:22:29,2016-07-30 21:22,40K
CTB-0713,2016-07-30,2016-07-30,21:39:00,2016-07-30 21:39,35K
CTB-0713,2016-07-30,2016-07-30,21:48:24,2016-07-30 21:48,35K
CTB-0713,2016-07-30,2016-07-30,21:48:57,2016-07-30 21:48,35K
CTB-0713,2016-07-30,2016-07-30,22:08:27,2016-07-30 22:08,MYLU
CTB-0713,2016-07-30,2016-07-30,22:08:43,2016-07-30 22:08,35K
CTB-0713,2016-07-30,2016-07-30,22:09:58,2016-07-30 22:09,35K
CTB-0713,2016-07-30,2016-07-30,22:34:23,2016-07-30 22:34,40K
CTB-0713,2016-07-31,2016-07-30,0:14:58,2016-07-31 0:14,35K
CTB-0713,2016-07-31,2016-07-30,5:51:33,2016-07-31 5:51,NOISE
CTB-0713,2016-07-31,2016-07-30,5:51:42,2016-07-31 5:51,NOISE
CTB-0713,2016-07-31,2016-07-31,20:59:29,2016-07-31 20:59,NOISE
CTB-0713,2016-07-31,2016-07-31,22:17:42,2016-07-31 22:17,LACI
CTB-0713,2016-08-01,2016-08-01,23:15:03,2016-08-01 23:15,35K
CTB-0713,2016-08-01,2016-08-01,23:15:39,2016-08-01 23:15,35K
CTB-0713,2016-08-01,2016-08-01,23:16:16,2016-08-01 23:16,35K
CTB-0713,2016-08-01,2016-08-01,23:16:36,2016-08-01 23:16,35K
CTB-0713,2016-08-01,2016-08-01,23:16:56,2016-08-01 23:16,35K
CTB-0713,2016-08-01,2016-08-01,23:17:13,2016-08-01 23:17,35K
CTB-0713,2016-08-01,2016-08-01,23:17:21,2016-08-01 23:17,35K
CTB-0713,2016-08-01,2016-08-01,23:20:10,2016-08-01 23:20,35K
CTB-0713,2016-08-01,2016-08-01,23:23:30,2016-08-01 23:23,35K
CTB-0713,2016-08-01,2016-08-01,23:23:49,2016-08-01 23:23,NOISE
CTB-0713,2016-08-01,2016-08-01,23:24:05,2016-08-01 23:24,35K
CTB-0713,2016-08-01,2016-08-01,23:24:32,2016-08-01 23:24,35K
CTB-0713,2016-08-01,2016-08-01,23:25:55,2016-08-01 23:25,35K
CTB-0713,2016-08-01,2016-08-01,23:27:33,2016-08-01 23:27,35K
CTB-0713,2016-08-01,2016-08-01,23:29:06,2016-08-01 23:29,35K
CTB-0713,2016-08-01,2016-08-01,23:29:13,2016-08-01 23:29,35K
CTB-0713,2016-08-01,2016-08-01,23:29:36,2016-08-01 23:29,NOISE
CTB-0713,2016-08-01,2016-08-01,23:29:53,2016-08-01 23:29,35K
CTB-0713,2016-08-01,2016-08-01,23:30:24,2016-08-01 23:30,35K
CTB-0713,2016-08-01,2016-08-01,23:30:47,2016-08-01 23:30,35K
CTB-0713,2016-08-01,2016-08-01,23:31:02,2016-08-01 23:31,35K
CTB-0713,2016-08-01,2016-08-01,23:31:12,2016-08-01 23:31,35K
CTB-0713,2016-08-01,2016-08-01,23:31:19,2016-08-01 23:31,NOISE
CTB-0713,2016-08-01,2016-08-01,23:31:23,2016-08-01 23:31,35K
CTB-0713,2016-08-01,2016-08-01,23:31:39,2016-08-01 23:31,35K
CTB-0713,2016-08-01,2016-08-01,23:31:52,2016-08-01 23:31,35K
CTB-0713,2016-08-01,2016-08-01,23:32:41,2016-08-01 23:32,MYLU
CTB-0713,2016-08-01,2016-08-01,23:32:56,2016-08-01 23:32,35K
CTB-0713,2016-08-01,2016-08-01,23:33:13,2016-08-01 23:33,NOISE
CTB-0713,2016-08-01,2016-08-01,23:34:14,2016-08-01 23:34,35K
CTB-0713,2016-08-01,2016-08-01,23:35:25,2016-08-01 23:35,35K
CTB-0713,2016-08-01,2016-08-01,23:38:41,2016-08-01 23:38,35K
CTB-0713,2016-08-01,2016-08-01,23:41:11,2016-08-01 23:41,35K
CTB-0713,2016-08-01,2016-08-01,23:46:21,2016-08-01 23:46,NOISE
CTB-0713,2016-08-01,2016-08-01,23:48:20,2016-08-01 23:48,35K
CTB-0713,2016-08-01,2016-08-01,23:48:42,2016-08-01 23:48,35K
CTB-0713,2016-08-01,2016-08-01,23:49:03,2016-08-01 23:49,35K
CTB-0713,2016-08-01,2016-08-01,23:49:21,2016-08-01 23:49,35K
CTB-0713,2016-08-01,2016-08-01,23:49:31,2016-08-01 23:49,35K
CTB-0713,2016-08-01,2016-08-01,23:50:06,2016-08-01 23:50,35K
CTB-0713,2016-08-01,2016-08-01,23:51:45,2016-08-01 23:51,40K
CTB-0713,2016-08-01,2016-08-01,23:52:11,2016-08-01 23:52,35K
CTB-0713,2016-08-01,2016-08-01,23:52:31,2016-08-01 23:52,35K
CTB-0713,2016-08-01,2016-08-01,23:54:03,2016-08-01 23:54,35K
CTB-0713,2016-08-01,2016-08-01,23:54:24,2016-08-01 23:54,35K
CTB-0713,2016-08-01,2016-08-01,23:54:57,2016-08-01 23:54,35K
CTB-0713,2016-08-01,2016-08-01,23:55:44,2016-08-01 23:55,35K
CTB-0713,2016-08-01,2016-08-01,23:55:58,2016-08-01 23:55,35K
CTB-0713,2016-08-01,2016-08-01,23:56:44,2016-08-01 23:56,35K
CTB-0713,2016-08-01,2016-08-01,23:57:11,2016-08-01 23:57,35K
