Site,basin,file_zc,Date,Night,Time,DateTimeOriginal,Type,DR,Y,M,D,H,M,S,uS,Datum,Lat,Long,Zon,Easting,Northing,Elev,Sp_final,season,Species,Note,ID
BCB-0616,BCB,PBM-BCB-0616_0_20160621_213542_000.zc,2016-06-21,2016-06-21,21:35:42,2016-06-21 21:35,132,8,2016,6,21,21,35,42,0,NAD83,NA,NA,10U,605216,5455230,825,MYCA,2,mMYCA,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
BCB-0616,BCB,PBM-BCB-0616_0_20160621_215454_000.zc,2016-06-21,2016-06-21,21:54:54,2016-06-21 21:54,132,8,2016,6,21,21,54,54,0,NAD83,NA,NA,10U,605216,5455230,825,30K,2,30K,"PBM-BCB-0619:Blowdowntrees,c7h4.5;KSProASE08192016[FWCP17-W-1211]",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160713_215401_000.zc,2016-07-13,2016-07-13,21:54:01,2016-07-13 21:54,132,8,2016,7,13,21,54,1,0,NAD83,NA,NA,10U,5452778,604011,1251,MYEV,2,mMYEV,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160713_230309_000.zc,2016-07-13,2016-07-13,23:03:09,2016-07-13 23:03,132,8,2016,7,13,23,3,9,0,NAD83,NA,NA,10U,5452778,604011,1251,NOISE,2,noise,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160713_234952_000.zc,2016-07-13,2016-07-13,23:49:52,2016-07-13 23:49,132,8,2016,7,13,23,49,52,0,NAD83,NA,NA,10U,5452778,604011,1251,30K,2,30K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000533_000.zc,2016-07-14,2016-07-13,0:05:33,2016-07-14 0:05,132,8,2016,7,14,0,5,33,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000546_000.zc,2016-07-14,2016-07-13,0:05:46,2016-07-14 0:05,132,8,2016,7,14,0,5,46,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000554_000.zc,2016-07-14,2016-07-13,0:05:54,2016-07-14 0:05,132,8,2016,7,14,0,5,54,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000603_000.zc,2016-07-14,2016-07-13,0:06:03,2016-07-14 0:06,132,8,2016,7,14,0,6,3,0,NAD83,NA,NA,10U,5452778,604011,1251,40K,2,40K,"CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
CTB-0713,CTB,PBM-CTB-713A_0_20160714_000609_000.zc,2016-07-14,2016-07-13,0:06:09,2016-07-14 0:06,132,8,2016,7,14,0,6,9,0,NAD83,NA,NA,10U,5452778,604011,1251,35K,2,"35K,fMYLU","CTB-0713:Talusfacingwaterfall,c1h4.5;KSProASE08192016[FWCP17-W-1",FM
