Proj,Site,Site_name,Gridcell,Quad,Latitude,Longitude,utm_zone,utm_easting,utm_northing,Elev,Surv_yr,start_date,end_date,Problem1_from,Problem1_to,init,det_model,det_sn,mic_type,mic_sn,habitat,feature,description,mic_cal_min,mic_cal_max,windsc,dampn,rec_mode,trig_win,max_lngth,mic_ht,qual_clutt,dens,GLA,LAI.4,LAI.5,noise,comments
IAF,CRISP-2017,Crisp Organics,NA,NA,49.094543,-122.098816,10,565790,5438357,NA,2017,2017-07-10,2017-10-13,NA,NA,PB,SM4,S4U02432,SMM-U1,MU106564,agriculture,hedgerow,along south property edge,-27.44,-36.04,1,0,wav,2,15,3.5,NA,0,81.92,0,0.06,NA,none
IAF,WELB-2017,Wellbrook Winery,NA,NA,49.085592,-122.976334,10,501728,5436971,NA,2017,2017-07-10,2017-10-07,NA,NA,FMDD,SM4,S4U02429,SMM-U1,MU106539,agriculture,row blueberries,"middle of field, very open",-25.57,-36.12,1,0,wav,2,15,3.5,NA,0,88.05,0,0,NA,none
IAF,MEYR-2017,Meyers Organic,NA,NA,49.05235,-122.58989,10,529989,5428739,NA,2017,2017-07-10,2017-10-08,NA,NA,FMDD,SM4,S4U02403,SMM-U1,MU107037,agriculture,row crops,"25m to edge, pond",-23.2,-35.06,1,0,wav,2,15,3.5,NA,0,78.15,0,0.06,NA,none
